tool_card	cutoff_date	status
alphafold3.md		UNFILLED: no subject-model cutoff date in retained card
boltz.md		UNFILLED: no subject-model cutoff date in retained card
deeploc.md		UNFILLED: no subject-model cutoff date in retained card
deepsig.md		UNFILLED: no subject-model cutoff date in retained card
effectorp.md		UNFILLED: no subject-model cutoff date in retained card
esm2.md		UNFILLED: no subject-model cutoff date in retained card
esmfold.md		UNFILLED: no subject-model cutoff date in retained card
false_singleton_calibration.md		UNFILLED: no subject-model cutoff date in retained card
foldseek.md		UNFILLED: no subject-model cutoff date in retained card
harness.md		UNFILLED: no subject-model cutoff date in retained card
hhpred.md		UNFILLED: no subject-model cutoff date in retained card
mmseqs2.md		UNFILLED: no subject-model cutoff date in retained card
peace.md		UNFILLED: no subject-model cutoff date in retained card
phobius.md		UNFILLED: no subject-model cutoff date in retained card
predector.md		UNFILLED: no subject-model cutoff date in retained card
prott5.md		UNFILLED: no subject-model cutoff date in retained card
scop_pdbe_mapping.md		UNFILLED: no subject-model cutoff date in retained card
signalp.md		UNFILLED: no subject-model cutoff date in retained card
targetp2.md		UNFILLED: no subject-model cutoff date in retained card
tm_align.md		UNFILLED: no subject-model cutoff date in retained card
tmhmm.md		UNFILLED: no subject-model cutoff date in retained card
wideeffhunter.md		UNFILLED: no subject-model cutoff date in retained card
