accession	status	api_http_status	model_http_status	model_version	model_url	sha256	bytes	error
A0A063CBJ7	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A0A063CBJ7-F1-model_v6.pdb	7f9ebe5a568889c10c54f0cb762f2f8ef17a38b415bd3106e43d0fc3fe292934	85292	
A0A0A2ILW0	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A0A0A2ILW0-F1-model_v6.pdb	8f6a4027aa65c08ccf73289fa4bc088c752176c4ec921808ccbff703f75e4ea2	252881	
A0A0A2JB06	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A0A0A2JB06-F1-model_v6.pdb	1a84c57a959497241d20da646aba2fa9ef89e78ecf8e75a0fc98cc1aa7486785	342953	
A0A0A2JVC2	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A0A0A2JVC2-F1-model_v6.pdb	4b0b49fb10e2441fb3943880b2f4a59f787c164eb76b4bd800dea67594442c10	206306	
A0A0A2JY92	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A0A0A2JY92-F1-model_v6.pdb	9c3c7ce57a011039a5ae2bf1f80f638ef6f4da70275ab6f65ceb1066a2d3a35a	199178	
A0A0D1C8C8	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A0A0D1C8C8-F1-model_v6.pdb	c5a62ec3eb7e657a9e74fb2dca5bcf3edcf280e2b5c0d11a387579dc9936f3fd	106433	
A0A0D1DPX0	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A0A0D1DPX0-F1-model_v6.pdb	5a5c21f9cb6e6ef9114dea1b34d3b196b344d9ba3063d937ba373f4fa44f2329	167588	
A0A0D1DWQ2	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A0A0D1DWQ2-F1-model_v6.pdb	180f11e9004901651580b9357eac6ab9f1964817d9ab57fb46f3a36fced04355	187757	
A0A0D1E4Y8	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A0A0D1E4Y8-F1-model_v6.pdb	6739f2ad3997c39384db344854e4643f6cafc6155e5a1b667e1277b25671b429	186137	
A0A0D1E951	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A0A0D1E951-F1-model_v6.pdb	05ae04d547121977bf7fc6f0dafc89192414c14fe07c5cd58eee7a7712b4f105	113480	
A0A0D1EAR7	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A0A0D1EAR7-F1-model_v6.pdb	85fe6c787792af1b8390cd06f967247c86ed4ca899334a9811ec796bffaf7ca1	81404	
A0A0M5K865	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A0A0M5K865-F1-model_v6.pdb	f7509ef2ac447bc6a808b660d3b2aef9433f5eb8efe80c81b618f1e01e69f154	532574	
A0A1D9QD76	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A0A1D9QD76-F1-model_v6.pdb	9358458ec7ed6edbf6d789c70a37d0a6fad54acc65d771ec6e8dd150ba281873	64232	
A0A2R2Z552	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A0A2R2Z552-F1-model_v6.pdb	c63fd669a02d5e8e53ec17083c04c5f9f493a6934870bdf16750b0259b090e75	218699	
A0A2R2Z560	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A0A2R2Z560-F1-model_v6.pdb	908996f22b718320f05bf3828a9eeef177b4e8f48ce0ada5dd60b173f69e0152	182168	
A0A2R2Z561	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A0A2R2Z561-F1-model_v6.pdb	b2a3f4d32f8ece6dbb9303e01651fb5723af351daefa8e78856ad46da3c38f51	168155	
A0A2R2Z564	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A0A2R2Z564-F1-model_v6.pdb	d582d9134cf9b58ebd9c2f39e29a782eb69e542d28000b8e6a052d7369fa7b97	163538	
A0A2R2Z570	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A0A2R2Z570-F1-model_v6.pdb	6cf01ab84fce40466d7aa94ad1b5024192298cc92c69c36bfb1f9377a7999191	179333	
A0A2R2Z572	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A0A2R2Z572-F1-model_v6.pdb	335c75048c4ed323bcf53d904170b0c412950cb626f4b1c80402a74a12d4f119	183059	
A0A2R2Z574	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A0A2R2Z574-F1-model_v6.pdb	11b189b720254bb0da695eefbfc65bb43e49cf1a20e610c1351e62bb30969c54	165887	
A0A2R2Z575	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A0A2R2Z575-F1-model_v6.pdb	cbedc4643cf4ab3123890e08599a1bbe821b01c033bd5d6756364d1318f3f0be	161999	
A0A384J6C4	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A0A384J6C4-F1-model_v6.pdb	a4eff0290e202fd98b261f992f4e795ef378c7d917c0c0415913a3323a48ca1f	235628	
A0A411NN20	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A0A411NN20-F1-model_v6.pdb	3b4c81dadbd4f69d24cc6a155ef6bb1eb9b65ad6efab82cbebce96514a7f12b8	114614	
A4QVZ8	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A4QVZ8-F1-model_v6.pdb	34a55ea8797fd6722ef7775e75f184c10418c600e4ca0272fcb682fd8321efe9	954260	
A9JX75	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-A9JX75-F1-model_v6.pdb	25a88a71898e828a3fd60e8af5ca2d47da61c8cf603d79c81ab7a179b0112529	72089	
B1NNT7	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-B1NNT7-F1-model_v6.pdb	bf90075215d676e3ed3d70eb1dead7ef2e72a001f5062257ab821f954182d73f	194480	
