accession	uniprot_accession	source_database	source_release	organism	lifestyle	length	cysteine_count	cysteine_fraction	publication_year	functional_evidence	experiment	q4_tool_independent	sequence_sha256
A0A023UJQ9		PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Fulvia fulva; Passalora fulva	biotroph	103	10	0.097087	2014	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: EffHunter_positive;EffectorP_1.0;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	7e6fcc7b2548749c3a69a8aef24c6f728cd16b9f01060193d7779d9b6326a268
A0A059UDR8		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Blumeria graminis f. sp. hordei	biotroph	316	8	0.025316	2015	validated host-target interaction	PEACE source memberships: EffectorP_2.0_validation;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	no	2f254bbfd196df89793cfbbf7334bc33f6c0d1639602a8d60948ffca0ceea52a
A0A061HK55		PHI-base	v4.19	Blumeria graminis	biotroph	147	2	0.013605	2020	hypersensitive response assay	Altered gene expression / gene regulation: silencing; other evidence: transgenic plants	yes	3bd22b7b369a366554dd916fb8a53ecc0ed6a581bbb04216fde52f3ad82bad7b
A0A061HMY2		PHI-base	v4.19	Blumeria graminis	biotroph	145	3	0.020690	2020	hypersensitive response assay	Altered gene expression / gene regulation: silencing; other evidence: transgenic plants	yes	10d14a85d5d252707420419f1b8e470b09c5fb651d4ec4e8d81eff39675c2764
A0A063BYC9		PHI-base	v4.19	Ustilaginoidea virens	unknown	415	7	0.016867	2025	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	3e872a3cd61d92271cbd07814a7bac0742c9ee3d65533a45551ada0dc9178cb9
A0A063CBJ7	A0A063CBJ7	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Ustilaginoidea virens; Ustilaginoidea virens (Rice false smut fungus) (Villosiclava virens)	unknown	130	4	0.030769	2019	hypersensitive response assay	Other evidence: transgenic plants; PEACE source memberships: fungtion_positive_sequences	yes	1af62c7ba619e03d7672340f86b118252d6094a11303744768f0851264c74df6
A0A0A0S3X0		PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Leptosphaeria maculans	hemibiotroph	232	8	0.034483	2014	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: EffectorP_2.0_validation;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	762e561cfaeca41cf3b7fa0a75bfe500fc6768a1683f8f1dfffae4eb36e4a9aa
A0A0A2I2M6		PHI-base	v4.19	Penicillium expansum	unknown	366	5	0.013661	2023	hypersensitive response assay	Gene deletion: full	yes	6efd9a84e3b3e311d80b2c133a4a565bfb3caade7b04bcc92468e279d33232c1
A0A0A2ILW0	A0A0A2ILW0	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Penicillium expansum; Penicillium expansum (Blue mold rot fungus)	unknown	422	11	0.026066	2017	hypersensitive response assay	Gene deletion: full; PEACE source memberships: EffectorP_3.0_positives;FunEffector-Pred;WideEffHunter;fungtion_positive_sequences	yes	29dc6619bc4b1691cba15fc7ad178a8779e39aed989fd05cb8376edbac139329
A0A0A2JB06	A0A0A2JB06	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Penicillium expansum; Penicillium expansum (Blue mold rot fungus)	unknown	542	25	0.046125	2017	hypersensitive response assay	Gene deletion: full; PEACE source memberships: FunEffector-Pred;WideEffHunter;fungtion_positive_sequences	yes	838caa692ee37f401fca1f9baae467406d8c98046a96f477ec5a90980f539970
