family	pdb_id	scop_sunid	selection_note
ubiquitin_like	1UBQ	54237	SCOP-mapped ubiquitin-like representative
ubiquitin_like	1F9J	54237	SCOP-mapped ubiquitin-like representative
ubiquitin_like	1AAR	54237	SCOP-mapped ubiquitin-like representative
ubiquitin_like	1P3Q	54237	SCOP-mapped ubiquitin-like representative
lysozyme_like	1LYZ	53960	SCOP-mapped lysozyme-like representative
lysozyme_like	1HEL	53960	SCOP-mapped lysozyme-like representative
lysozyme_like	2LYZ	53960	SCOP-mapped lysozyme-like representative
lysozyme_like	3LZT	53960	SCOP-mapped lysozyme-like representative
thioredoxin_like	2TRX	52834	SCOP-mapped thioredoxin-like representative
thioredoxin_like	1XOA	52834	SCOP-mapped thioredoxin-like representative
thioredoxin_like	1ERT	52834	SCOP-mapped thioredoxin-like representative
thioredoxin_like	1AIU	52834	SCOP-mapped thioredoxin-like representative
ribonuclease_a_like	1FS3	54077	SCOP-mapped ribonuclease-A-like representative
ribonuclease_a_like	7RSA	54077	SCOP-mapped ribonuclease-A-like representative
ribonuclease_a_like	1RTB	54077	SCOP-mapped ribonuclease-A-like representative
ribonuclease_a_like	2AAS	54077	SCOP-mapped ribonuclease-A-like representative
beta_lactamase_like	1BTL	56602	SCOP-mapped beta-lactamase-like representative
beta_lactamase_like	1BLH	56602	SCOP-mapped beta-lactamase-like representative
beta_lactamase_like	1BUE	56602	SCOP-mapped beta-lactamase-like representative
beta_lactamase_like	1FQG	56602	SCOP-mapped beta-lactamase-like representative
