accession	organism	length	status
A0A017SE81	Aspergillus ruber (strain CBS 135680)	286	unlabelled_candidate_not_verified_negative
A0A017SE85	Aspergillus ruber (strain CBS 135680)	415	unlabelled_candidate_not_verified_negative
A0A017SEF3	Aspergillus ruber (strain CBS 135680)	434	unlabelled_candidate_not_verified_negative
A0A017SEX7	Aspergillus ruber (strain CBS 135680)	2403	unlabelled_candidate_not_verified_negative
A0A017SEY2	Aspergillus ruber (strain CBS 135680)	348	unlabelled_candidate_not_verified_negative
A0A017SFB8	Aspergillus ruber (strain CBS 135680)	538	unlabelled_candidate_not_verified_negative
A0A017SGC7	Aspergillus ruber (strain CBS 135680)	497	unlabelled_candidate_not_verified_negative
A0A017SP50	Aspergillus ruber (strain CBS 135680)	417	unlabelled_candidate_not_verified_negative
A0A017SPL2	Aspergillus ruber (strain CBS 135680)	408	unlabelled_candidate_not_verified_negative
A0A017SQ41	Aspergillus ruber (strain CBS 135680)	2092	unlabelled_candidate_not_verified_negative
A0A017SR40	Aspergillus ruber (strain CBS 135680)	534	unlabelled_candidate_not_verified_negative
A0A023I4C8	Penicillium roqueforti	329	unlabelled_candidate_not_verified_negative
A0A023I4D6	Penicillium roqueforti	512	unlabelled_candidate_not_verified_negative
A0A023I4F1	Penicillium roqueforti	340	unlabelled_candidate_not_verified_negative
A0A023I7E1	Rhizomucor miehei	796	unlabelled_candidate_not_verified_negative
A0A023IWD9	Amanita exitialis (Guangzhou destroying angel)	34	unlabelled_candidate_not_verified_negative
A0A023IWE0	Amanita fuligineoides	32	unlabelled_candidate_not_verified_negative
A0A023IWE1	Amanita phalloides (Death cap)	31	unlabelled_candidate_not_verified_negative
A0A023IWG2	Amanita phalloides (Death cap)	33	unlabelled_candidate_not_verified_negative
A0A023IWG3	Amanita fuligineoides	33	unlabelled_candidate_not_verified_negative
A0A023IWG4	Amanita fuliginea (East Asian brown death cap)	33	unlabelled_candidate_not_verified_negative
A0A023IWI4	Amanita fuligineoides	32	unlabelled_candidate_not_verified_negative
A0A023IWI5	Amanita phalloides (Death cap)	33	unlabelled_candidate_not_verified_negative
A0A023IWI6	Amanita fuliginea (East Asian brown death cap)	33	unlabelled_candidate_not_verified_negative
A0A023IWK3	Amanita fuliginea (East Asian brown death cap)	32	unlabelled_candidate_not_verified_negative
A0A023IWK5	Amanita rimosa	32	unlabelled_candidate_not_verified_negative
A0A023IWK7	Amanita pallidorosea	33	unlabelled_candidate_not_verified_negative
A0A023IWM6	Amanita rimosa	35	unlabelled_candidate_not_verified_negative
A0A023IWM7	Amanita rimosa	33	unlabelled_candidate_not_verified_negative
A0A023IWM8	Amanita rimosa	33	unlabelled_candidate_not_verified_negative
A0A023PXB0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	110	unlabelled_candidate_not_verified_negative
A0A023PXB5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	102	unlabelled_candidate_not_verified_negative
A0A023PXD3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	107	unlabelled_candidate_not_verified_negative
A0A023PXD5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	136	unlabelled_candidate_not_verified_negative
A0A023PXE5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	117	unlabelled_candidate_not_verified_negative
A0A023PXF5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	105	unlabelled_candidate_not_verified_negative
A0A023PXG3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	133	unlabelled_candidate_not_verified_negative
A0A023PXH2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	111	unlabelled_candidate_not_verified_negative
