ID,Phase,Task,Owner_agent,Owner_human_proposed,Card,Exit_criterion,Blocks,Cost,status,started_on,completed_on,evidence_path
T0.1,W0 Setup,Ratify the twelve-clause constitution and wire it into the stage template,Referee,David Park,E1,Every stage prompt carries the clauses automatically. A contradicting prompt fails validation,all stages,none,not started,,,
T0.2,W0 Setup,Open and amend the decision ledger,Referee,David Park,E2,Conventional decisions have values and full amendment chains,T2.5 T4.3 T5.1,none,completed,2026-09-15,2026-09-15,ledger/ledger.yaml
T0.3,W0 Setup,Publish the eight-threat taxonomy and rewrite every stop condition as a predicate,Adversary,Graham Neubig,B2,Zero name-based stop conditions survive validation,T3.6 T3.7,none,not started,,,
T0.4,W0 Setup,Stand up execution-time provenance hashing in the runner,Instrument,Gilchan Park,A3,A deliberately mutated prompt blocks the run automatically,T2.3 T5.4,none,not started,,,
T0.5,W0 Setup,"Fetch and checksum every asset. PEACE repo and checkpoint, Predector container, PHI-base, MycoCosm",Curator,Xin Dai,-,Every asset present with a recorded checksum and licence status,T1.2 T2.2 T2.3,none,partial,2026-09-15,,docs/assets.md
TR.1,W1 Repair,"Repair panel-level scoring, chance precision, cross-fitted headroom and split fields","Referee and Floor","David Park, Shinjae Yoo",-,Four regression tests fail against the prior behavior and both programs run on test data,T2.5 T2.6 T5.6,none,completed,2026-09-15,2026-09-15,"scorer/test_score.py; floor/test_floor.py"
T1.1,W1 Tier 1,Axis enumeration in one pass across all five axes,Curator,Xin Dai,D2,"One table, five counts, and a refusal to release any single count alone",GATE 1,none,blocked,2026-09-15,,handoff/w1/axes_report.md
T1.2,W1 Tier 1,"Build the union positive set from PHI-base, PEACE curated CSVs and Predector confirmed set",Curator,Xin Dai,-,Deduplicated FASTA with per-sequence provenance and evidence code,T1.3 T1.4,none,completed,2026-09-15,2026-09-15,"data/positives/union.fasta; data/positives/provenance.tsv; data/positives/curation_summary.json"
T1.3,W1 Tier 1,"STRUCTURAL CLUSTERING. Predicted models for the union set, Foldseek all versus all, cluster at TM 0.50",Curator,Xin Dai,D2,"Independent unit count at TM 0.50 reported together with sequence counts at 30, 40 and 50 percent",GATE 1 T5.2,under 8 GPU hours,partial,2026-09-15,,handoff/w1/axes_measurements.md
T1.4,W1 Tier 1,Label eligibility filter. Retain functional evidence only,Curator,Qun Liu reviews,-,Every retained positive names an assay. Computational codes removed and counted,GATE 1,none,completed,2026-09-15,2026-09-15,"data/positives/provenance.tsv; data/positives/curation_summary.json; data/positives/profile_summary.json"
T1.5,W1 Tier 1,Contamination audit. Publication and deposition date per positive against every subject cutoff,Curator,Xin Dai,D1,Pre-cutoff and post-cutoff strata sized and dated,TL.1,none,blocked,2026-09-15,,handoff/w1/axes_report.md
T1.6,W1 Tier 1,"Tool coverage count. In planta RNA-seq, repeat annotation, assembly quality per species",Curator,Xin Dai,D2,Per-channel coverage fraction across the candidate cohort,T2.4,none,blocked,2026-09-15,,handoff/w1/axes_report.md
GATE 1,W1 Gate,"Units at or above 45 after structural clustering, functional labels, four channels covering most of cohort",Panel,All five,A1,"Pass, or restate delta at 0.10, or close the task",W2,none,not started,,,
T2.1,W2 Tier 2,Build and freeze the design split that never gets scored,Floor,Shinjae Yoo,D3,Split hashed and recorded before any floor runs,T2.2 T2.7,none,not started,,,
T2.2,W2 Tier 2,"Run Floor C, Predector, blinded, on design-split panels",Floor,Shinjae Yoo,-,"Ranked output per panel, arm identity withheld from the Referee",T2.5 T2.6,13 CPU hours per full cohort pass,not started,,,
T2.3,W2 Tier 2,"Run Floor M, PEACE, on the same panels with the checkpoint verified",Floor,Xin Dai,A3,Ranked output plus a served parameter count matching the card,T2.4 T2.5,1 to 3 GPU days,not started,,,
T2.4,W2 Tier 2,Build Floor M plus six channels and measure C by mechanical ablation,Floor,Shinjae Yoo,-,The channel count at which the fixed ensemble stops improving,GATE 2,moderate,not started,,,
T2.5,W2 Tier 2,"Compute sigma_d, N_min and MDE(N) for both cohort geometries",Floor,Shinjae Yoo,-,All three written to the ledger before any agent call exists,GATE 2 T5.6,none,not started,,,
T2.6,W2 Tier 2,THE HEADROOM TEST. Global channel weights against per-lifestyle oracle weights,Floor,Shinjae Yoo,-,H reported with an interval,GATE 2,none,not started,,,
T2.7,W2 Tier 2,"Item-design search over budget, channel set and contract shape, optimised for floor separation",Floor,Shinjae Yoo,D3,Chosen design plus a search log showing the scored cohort was never touched,T5.2,none,not started,,,
GATE 2,W2 Gate,H exceeds delta and the six-channel floor does not take the ceiling,Panel,All five,A1,"Pass, or close the task with zero agent calls spent",W3,none,not started,,,
T3.1,W3-5 Tier 3,"Generate roughly eighteen tool cards. Read the code first, then the defining paper",Instrument,Gilchan Park,A2,"Every card carries a disagreement list, explicitly empty or non-empty",T3.3 T3.5,two days,not started,,,
T3.2,W3-5 Tier 3,"Clear licences and rule on substitutions for SignalP, TMHMM and Phobius",Instrument,Gilchan Park,-,Each substitution justified against precision at twenty with the recall spread quoted,T3.5,"lead time, start now",not started,,,
